10 3581 14235
1 246 0.100966 0.172227
0 247 0.178648 0.155181
1 247 -0.0151723 0.172457
0 248 0.300455 0.166699
1 248 -0.506555 0.259092
0 249 0.337227 0.166699
1 249 0.130384 0.185127
0 250 0.334929 0.173609
1 250 0.130384 0.192038
0 251 0.362508 0.192038
1 251 0.168811 0.20761
0 252 -0.303987 0.219681
1 252 -0.451841 0.230047
0 253 -0.297092 0.219681
1 253 -0.446479 0.231199
0 253 -0.290197 0.219681
0 254 -0.271811 0.219681
1 254 -0.423496 0.231199
0 255 -0.326969 0.224288
1 255 -0.472909 0.233886
0 187 -0.320074 0.224288
0 256 0.194735 0.226592
1 256 0.00397992 0.239645
0 257 -0.287899 0.228895
1 257 -0.441882 0.240413
0 258 -0.278706 0.240413
1 258 -0.43652 0.251163
0 195 -0.297092 0.247324
0 230 0.220016 0.254235
0 231 0.265981 0.254235
0 233 -0.375233 0.263449
0 259 0.259087 0.268056
1 259 0.0614364 0.279958
0 260 0.275174 0.268056
1 260 0.0789032 0.280035
0 261 -0.26032 0.274967
1 261 -0.41035 0.280588
0 262 -0.255723 0.286485
1 262 -0.407408 0.293396
0 263 0.286666 0.300306
1 263 0.102805 0.309521
0 264 -0.258021 0.325646
1 264 -0.407408 0.327949
0 265 0.277473 -0.11526
1 265 0.0926928 -0.0876172
0 266 0.321599 -0.0378598
1 266 0.128546 -0.012981
0 267 0.178188 0.130763
1 267 -0.0144061 0.150573
0 268 0.324357 0.14182
1 268 0.117514 0.16117
0 269 0.327115 0.172227
1 269 0.121191 0.189734
0 250 0.335389 0.174991
0 251 0.362968 0.191577
0 270 -0.268593 0.221985
1 270 -0.425794 0.233042
0 255 -0.32651 0.224749
0 271 -0.287899 0.230278
1 271 -0.442342 0.241335
0 272 0.186462 0.233042
1 272 -0.00368097 0.245404
0 273 0.197493 0.233042
1 273 0.00397992 0.247324
0 274 -0.282383 0.23857
1 274 -0.439584 0.249628
0 275 0.258167 0.266213
1 275 0.0614364 0.279574
0 261 -0.26032 0.274506
0 276 -0.271351 0.313207
1 276 -0.423496 0.316432
0 277 0.287953 -0.10752
1 277 0.100966 -0.0793243
0 278 0.393856 -0.0312254
1 278 0.168688 -0.000311347
0 279 0.254858 0.11473
1 279 0.0016817 0.14182
0 280 0.324357 0.131316
1 280 0.119169 0.151219
0 281 0.324357 0.141267
1 281 0.115859 0.16117
0 282 0.317738 0.147901
1 282 0.10924 0.167804
0 251 0.364071 0.191024
0 283 -0.327613 0.224196
1 283 -0.467163 0.233886
0 284 -0.268042 0.23083
1 284 -0.423588 0.240782
0 273 0.195287 0.234148
0 285 0.248239 0.234148
1 285 0.0458083 0.249628
0 286 0.264786 0.234148
1 286 0.0660329 0.247324
0 287 0.208525 0.237465
1 287 0.013556 0.251163
0 288 0.274715 0.267319
1 288 0.0761453 0.280588
